year,birth.day,birth.mass,v
1982,142,4.4,1.57865439366597
1982,134,5.2,1.36826960369436
1982,144,5.6,1.47726392227951
1982,136,5,1.3900802395358
1982,144,5.1,0.508992390104023
1982,144,3.8,1.47726392227951
1982,137,5.6,0.508992390104023
1982,155,4.8,1.57865439366597
1982,137,4.9,1.57865439366597
1982,131,5.1,1.22531989626951
1982,144,5.5,0.508992390104023
1982,136,4.9,1.47726392227951
1982,142,5.5,1.57865439366597
1982,142,4.6,1.36826960369436
1982,135,5.5,0.508992390104023
1982,144,4.6,1.47726392227951
1982,150,4.2,0.508992390104023
1982,147,3.6,1.57865439366597
1982,146,4.7,0.508992390104023
1982,135,6.3,1.55897434079831
1982,139,4.3,1.22531989626951
1982,143,4.7,0.508992390104023
1982,140,5.5,1.36826960369436
1982,148,3.8,1.55897434079831
1982,140,5.1,1.22531989626951
1982,128,6.3,1.55897434079831
1982,138,5.5,1.22531989626951
1982,145,5.1,0.508992390104023
1982,138,5,1.22531989626951
1982,145,6.5,0.508992390104023
1982,137,4.3,1.22531989626951
1982,138,5.1,0.508992390104023
1982,146,6.2,1.47726392227951
1982,140,5.3,1.55897434079831
1982,144,4.9,1.3900802395358
1982,147,5.1,1.47726392227951
1982,163,6.1,0.508992390104023
1982,133,5.8,1.36826960369436
1982,144,3.8,0.508992390104023
1982,144,5.1,1.55897434079831
1982,144,4.8,1.55897434079831
1982,145,5.5,1.3900802395358
1982,155,4.8,1.57865439366597
1982,133,5.8,1.47726392227951
1982,155,4.3,0.508992390104023
1982,131,6,1.36826960369436
1982,127,7,1.36826960369436
1983,132,7,1.22531989626951
1983,144,5.4,1.3900802395358
1983,138,6.9,1.36826960369436
1983,132,6.1,1.3900802395358
1983,141,7.1,0.508992390104023
1983,134,6.2,0.878130620527796
1983,140,5.1,1.47726392227951
1983,136,6.3,1.47726392227951
1983,134,5.3,1.47726392227951
1983,147,5.1,1.36826960369436
1983,141,5,0.700869029539366
1983,151,5.4,1.36826960369436
1983,141,6.3,0.508992390104023
1983,153,7,1.55897434079831
1983,152,6.4,0.508992390104023
1983,143,5.8,0.318533411548458
1983,137,5.5,1.22531989626951
1983,136,6,1.47726392227951
1983,145,5.3,0.508992390104023
1983,145,6.1,0.508992390104023
1983,140,5.7,1.3900802395358
1983,138,6.5,0.508992390104023
1983,127,6.5,1.0755542369826
1983,136,5.8,1.47726392227951
1983,141,4.8,1.3900802395358
1983,137,5.9,1.55897434079831
1983,136,6.2,1.3900802395358
1983,133,5,1.36826960369436
1983,147,5,1.47726392227951
1983,132,5.2,1.0755542369826
1983,155,5.3,1.3900802395358
1983,130,5.8,1.0755542369826
1983,142,5.8,1.55897434079831
1983,146,4.8,0.508992390104023
1983,134,6.1,0.878130620527796
1983,145,6,1.55897434079831
1983,142,6.5,0.508992390104023
1983,140,4.8,1.57865439366597
1983,149,5.5,0.508992390104023
1983,146,5.8,0.508992390104023
1983,130,5.3,1.0755542369826
1983,145,5.5,1.3900802395358
1983,131,5.7,1.0755542369826
1983,136,5.6,1.0755542369826
1983,137,5.2,1.22531989626951
1983,133,5.2,0.878130620527796
1983,138,5.4,1.47726392227951
1983,136,5.1,0.508992390104023
1983,139,5.6,0.508992390104023
1983,151,6.1,1.3900802395358
1983,147,5.5,1.22531989626951
1983,149,5.6,0.508992390104023
1983,142,5.3,1.36826960369436
1983,142,4.2,1.55897434079831
1983,130,5.9,1.22531989626951
1983,139,4.6,1.3900802395358
1983,135,6.6,1.0755542369826
1983,147,4.6,1.55897434079831
1983,151,5.1,1.55897434079831
1983,158,4.3,0.508992390104023
1983,144,5.7,1.57865439366597
1983,146,4.8,1.22531989626951
1983,144,2.6,1.57865439366597
1983,140,4.4,1.3900802395358
1983,142,4.4,1.55897434079831
1983,134,5.2,1.22531989626951
1983,144,5.6,1.36826960369436
1983,134,7.1,0.508992390104023
1983,136,5,1.57865439366597
1983,144,5.1,1.3900802395358
1983,144,3.8,1.36826960369436
1983,155,4.8,1.55897434079831
1983,137,4.9,1.55897434079831
1983,131,5.1,1.0755542369826
1983,136,4.9,1.36826960369436
1983,142,5.5,1.55897434079831
1983,138,4.1,0.508992390104023
1983,144,4.6,1.36826960369436
1983,147,3.6,1.55897434079831
1983,147,5.4,0.508992390104023
1983,146,4.7,1.3900802395358
1983,143,4.7,0.508992390104023
1983,135,6.3,1.47726392227951
1983,141,6,0.508992390104023
1983,139,4.3,1.0755542369826
1983,143,6,0.508992390104023
1983,140,5.5,1.22531989626951
1983,148,3.8,1.47726392227951
1983,140,5.1,1.0755542369826
1983,141,5.7,0.508992390104023
1983,128,6.3,1.47726392227951
1983,128,5.5,0.508992390104023
1983,145,5.1,1.3900802395358
1983,138,5,1.0755542369826
1983,137,4.3,1.0755542369826
1983,145,5.8,0.508992390104023
1983,140,5.3,1.47726392227951
1983,144,4.9,1.57865439366597
1983,149,4.4,0.508992390104023
1983,147,5.1,1.36826960369436
1983,163,6.1,1.3900802395358
1983,152,4.9,0.508992390104023
1983,133,5.8,1.22531989626951
1983,144,5.1,1.47726392227951
1983,173,6.1,0.508992390104023
1983,155,4.8,1.55897434079831
1983,133,5.8,1.36826960369436
1983,155,4.3,1.3900802395358
1983,131,6,1.22531989626951
1983,127,7,1.22531989626951
1984,132,7,1.0755542369826
1984,144,5.4,1.57865439366597
1984,132,6.1,1.57865439366597
1984,141,7.1,1.3900802395358
1984,137,5.3,0.508992390104023
1984,134,6.2,0.700869029539366
1984,140,5.1,1.36826960369436
1984,136,6.3,1.36826960369436
1984,139,6.2,0.508992390104023
1984,134,5.3,1.36826960369436
1984,147,5.1,1.22531989626951
1984,140,5.6,0.508992390104023
1984,139,5.8,0.508992390104023
1984,151,5.4,1.22531989626951
1984,141,6.3,1.3900802395358
1984,153,7,1.47726392227951
1984,145,6.1,0.508992390104023
1984,152,6.4,1.3900802395358
1984,136,6,1.36826960369436
1984,148,5.3,0.508992390104023
1984,140,5.7,1.57865439366597
1984,138,6.5,1.3900802395358
1984,127,6.5,0.878130620527796
1984,136,5.8,1.36826960369436
1984,137,5.9,1.47726392227951
1984,136,6.2,1.57865439366597
1984,136,6.3,0.508992390104023
1984,133,5,1.22531989626951
1984,139,5.6,0.508992390104023
1984,147,5,1.36826960369436
1984,132,5.2,0.878130620527796
1984,142,5.8,1.47726392227951
1984,134,6.1,0.700869029539366
1984,145,6,1.47726392227951
1984,142,6.5,1.3900802395358
1984,137,5.1,0.508992390104023
1984,140,4.8,1.55897434079831
1984,130,5.3,0.878130620527796
1984,131,5.7,0.878130620527796
1984,136,5.6,0.878130620527796
1984,141,6.4,0.508992390104023
1984,137,5.2,1.0755542369826
1984,133,5.2,0.700869029539366
1984,138,5.4,1.36826960369436
1984,136,5.1,1.3900802395358
1984,133,6.3,0.508992390104023
1984,141,5.6,0.508992390104023
1984,151,6.1,1.57865439366597
1984,139,5.6,0.508992390104023
1984,147,5.5,1.0755542369826
1984,149,5.6,1.3900802395358
1984,142,5.3,1.22531989626951
1984,142,4.2,1.47726392227951
1984,137,5.2,0.508992390104023
1984,141,6.2,0.508992390104023
1984,139,4.6,1.57865439366597
1984,147,4.6,1.47726392227951
1984,146,4.7,0.508992390104023
1984,151,5.1,1.47726392227951
1984,141,5.5,0.508992390104023
1984,146,4.8,1.0755542369826
1984,144,2.6,1.55897434079831
1984,140,4.4,1.57865439366597
1984,134,5.2,1.0755542369826
1984,144,5.6,1.22531989626951
1984,134,7.1,1.3900802395358
1984,136,6.3,0.508992390104023
1984,136,5,1.55897434079831
1984,144,5.1,1.57865439366597
1984,140,6.1,0.508992390104023
1984,144,3.8,1.22531989626951
1984,155,4.8,1.47726392227951
1984,141,4.7,0.508992390104023
1984,137,4.9,1.47726392227951
1984,141,5.6,0.508992390104023
1984,131,5.1,0.878130620527796
1984,136,4.9,1.22531989626951
1984,142,5.5,1.47726392227951
1984,138,4.1,1.3900802395358
1984,138,5.5,0.508992390104023
1984,144,4.6,1.22531989626951
1984,147,3.6,1.47726392227951
1984,146,4.7,1.57865439366597
1984,135,6.3,1.36826960369436
1984,141,6,1.3900802395358
1984,139,4.3,0.878130620527796
1984,143,6,1.3900802395358
1984,140,5.5,1.0755542369826
1984,148,3.8,1.36826960369436
1984,150,5.6,0.508992390104023
1984,139,5.7,0.508992390104023
1984,140,5.1,0.878130620527796
1984,143,4.2,0.508992390104023
1984,141,5.7,1.3900802395358
1984,128,6.3,1.36826960369436
1984,139,5.2,0.508992390104023
1984,145,5.1,1.57865439366597
1984,138,5,0.878130620527796
1984,139,5.4,0.508992390104023
1984,137,4.3,0.878130620527796
